skill_name,category,owner,run_id,harness,model,axis,pass_rate_gain,efficiency_score,valid_scenarios,invalid_scenarios,total_items,wi_passed,wo_passed,wi_time_s,wo_time_s,wi_skill_matched,wo_skill_matched,security_score,total_deduction,findings_H,findings_M,findings_L,overall_severity,dynamic_total,dynamic_passed,dynamic_failed,dynamic_error
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,78.7,21.34,2,0,3,H,5,2,3,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_cc_claude4,cc,claude-4,utility,0.3333,0.0,3,0,18,18,12,276.61,189.33,3,3,,,,,,,0,0,0,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.2222,0.0,3,0,18,17,14,421.35,158.71,3,3,77.5,22.5,2,0,3,H,0,0,0,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_codex_gpt51,codex,gpt-5.1,utility,0.1111,0.1701,3,0,18,15,14,90.49,68.79,3,3,,,,,,,0,0,0,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_codex_gpt54,codex,gpt-5.4,utility,0.0,0.0,3,0,18,18,18,451.01,284.62,3,3,,,,,,,0,0,0,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_opencode_claude46,opencode,claude-4.6,utility,0.0,1.0,3,0,18,1,15,54.96,184.4,3,3,,,,,,,0,0,0,0
room,building-and-grounds-cleaning-and-maintenance-occupations,anon-188,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.0,0.2058,3,0,18,1,13,311.15,179.5,3,3,,,,,,,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,security_codex_gpt51,codex,gpt-5.1,security,,,,,0,,,,,,,100.0,0.0,0,0,0,N/A,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,security_codex_gpt54,codex,gpt-5.4,security,,,,,0,,,,,,,100.0,0.0,0,0,0,N/A,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_cc_claude4,cc,claude-4,utility,0.5079,0.0,3,0,19,13,3,460.59,209.45,3,3,,,,,,,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.254,0.0,3,0,19,19,14,0.0,0.0,3,3,100.0,0.0,0,0,0,N/A,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_codex_gpt51,codex,gpt-5.1,utility,0.0,,3,0,19,0,4,35.2,56.16,3,3,,,,,,,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_codex_gpt54,codex,gpt-5.4,utility,0.381,0.0,2,1,19,13,8,782.66,557.06,3,3,,,,,,,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_opencode_claude46,opencode,claude-4.6,utility,0.3095,0.0,3,0,19,19,13,723.52,431.9,3,3,,,,,,,0,0,0,0
academic-paper-review,educational-instruction-and-library-occupations,anon-260,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.3174,0.3333,3,0,19,19,13,559.99,462.54,3,3,,,,,,,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,security_codex_gpt51,codex,gpt-5.1,security,,,,,0,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,security_codex_gpt54,codex,gpt-5.4,security,,,,,0,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_cc_claude4,cc,claude-4,utility,0.0,0.0,3,0,18,17,17,397.89,297.77,3,3,,,,,,,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0556,0.0618,3,0,18,17,17,170.77,194.47,3,3,100.0,0.0,0,0,0,L,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_codex_gpt51,codex,gpt-5.1,utility,0.1667,0.0,3,0,18,18,15,188.7,102.06,3,3,,,,,,,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_codex_gpt54,codex,gpt-5.4,utility,0.1111,0.138,3,0,18,18,16,401.66,304.98,3,3,,,,,,,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_opencode_claude46,opencode,claude-4.6,utility,0.0556,0.0709,3,0,18,17,16,531.38,519.56,3,3,,,,,,,0,0,0,0
academic-researcher,educational-instruction-and-library-occupations,anon-240,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.0556,0.2451,3,0,18,17,16,394.14,252.46,3,3,,,,,,,0,0,0,0
advogado-criminal,legal-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,0,,,,,,,96.9,3.1,0,2,0,M,2,2,0,0
advogado-criminal,legal-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,0,,,,,,,97.7,2.3,0,2,0,M,2,2,0,0
advogado-criminal,legal-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.619,0.0,3,0,19,19,7,480.81,322.25,3,3,,,,,,,0,0,0,0
advogado-criminal,legal-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.4286,0.0,3,0,19,19,11,820.51,672.78,3,3,95.2,4.8,0,2,0,M,2,2,0,0
advogado-criminal,legal-occupations,anon-276,utility_codex_gpt51,codex,gpt-5.1,utility,0.6905,0.0,3,0,19,18,5,208.25,131.99,3,3,,,,,,,0,0,0,0
advogado-criminal,legal-occupations,anon-276,utility_codex_gpt54,codex,gpt-5.4,utility,0.0556,0.2269,3,0,19,17,17,1229.31,1022.62,3,3,,,,,,,0,0,0,0
advogado-criminal,legal-occupations,anon-276,utility_opencode_claude46,opencode,claude-4.6,utility,0.5159,0.0892,3,0,19,19,9,627.22,587.99,3,3,,,,,,,0,0,0,0
advogado-criminal,legal-occupations,anon-276,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.5556,0.2879,3,0,19,19,8,413.92,362.3,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,0,,,,,,,93.6,6.4,0,3,0,M,3,2,1,0
advogado-especialista,legal-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,0,,,,,,,91.3,8.68,0,3,0,M,3,1,2,0
advogado-especialista,legal-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.3333,0.0,3,0,18,17,11,384.36,222.58,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.1667,0.0,3,0,18,18,15,905.87,743.07,3,3,91.6,8.4,0,3,0,M,3,2,1,0
advogado-especialista,legal-occupations,anon-276,utility_codex_gpt51,codex,gpt-5.1,utility,0.5,0.1707,3,0,18,18,9,292.47,146.32,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_codex_gpt54,codex,gpt-5.4,utility,0.2778,0.0087,3,0,18,17,12,1309.22,1167.05,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_opencode_claude46,opencode,claude-4.6,utility,0.1666,0.0,2,1,18,12,10,655.64,968.03,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.1667,0.1666,3,0,18,16,13,528.85,733.44,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.0,0.0,3,0,19,16,17,440.33,350.5,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0,0.0,3,0,19,19,19,792.21,602.34,3,3,100.0,0.0,0,0,0,none,0,0,0,0
